,,Releases,,,Encounters,,,Rates,,,,Legal FRIM,,,,,Sub-Legal FRIM,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,Drop-out,Legal IM,Sub-Legal IM,,Drop-out,IM,Total FRIM,Total Mortalities,,Drop-out,IM,Total FRIM,Total Mortalities,,Total FRIM,Total Mortalities
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,14.5%,12.3%,32.3%,," 1,405 ", 160 ," 1,565 "," 9,955 ",," 1,549 "," 3,450 "," 4,999 "," 4,999 ",," 6,564 "," 14,954 "
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,14.5%,12.3%,32.3%,," 8,928 "," 2,991 "," 11,919 "," 49,179 ",," 14,906 "," 33,204 "," 48,110 "," 48,110 ",," 60,029 "," 97,289 "
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,14.5%,12.3%,32.3%,," 1,633 ", 884 ," 2,517 "," 6,596 ",," 3,767 "," 8,392 "," 12,159 "," 12,159 ",," 14,676 "," 18,755 "
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,14.5%,12.3%,32.3%,," 3,631 ", 965 ," 4,596 "," 21,788 ",," 3,960 "," 8,820 "," 12,780 "," 12,780 ",," 17,376 "," 34,568 "
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,14.5%,12.3%,32.3%,," 1,552 ", 172 ," 1,723 "," 11,027 ",," 1,115 "," 2,484 "," 3,599 "," 3,599 ",," 5,323 "," 14,627 "
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,14.5%,12.3%,32.3%,," 9,974 "," 1,684 "," 11,658 "," 66,749 ",," 10,881 "," 24,238 "," 35,119 "," 35,119 ",," 46,777 "," 101,868 "
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,," 27,123 "," 6,856 "," 33,978 "," 165,294 ",," 36,178 "," 80,589 "," 116,766 "," 116,766 ",," 150,744 "," 282,060 "
,,,,,,,,,,,,,,,,,,,,,,,
,,Releases,2011,,Encounters, ,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 11,933 "," 1,952 "," 3,217 ",," 13,885 "," 3,217 ",,,,,,,,,,,,,,,,,
North GST," 15,510 ", 715 ," 10,686 ",," 16,225 "," 10,686 ",,,,,,,,,,,,,,,,,
Southern GST," 6,113 "," 1,356 "," 7,508 ",," 7,469 "," 7,508 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,Simplified Calcs,,,,,,,,,,,
Total," 115,143 "," 26,960 "," 131,451 ",," 142,103 "," 131,451 ",,,,,,Legal FRIM," 33,978 ",,,,,,,,,,
,,Releases,2012,,Encounters,,,,,,,Sub-Legal FRIM," 116,766 ",,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,Total FRIM," 150,744 ",,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2013,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2014,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2015,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2016,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2017,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2018,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2019,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2020,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
,,Releases,2021,,Encounters,,,,,,,,,,,,,,,,,,
Area,Kept,Legal,Sub-Legal,,Legal,Sub-Legal,,,,,,,,,,,,,,,,,
Area 12," 8,390 "," 1,300 "," 10,681 ",," 9,690 "," 10,681 ",,,,,,,,,,,,,,,,,
North GST," 37,260 "," 24,314 "," 102,799 ",," 61,574 "," 102,799 ",,,,,,,,,,,,,,,,,
Southern GST," 4,079 "," 7,185 "," 25,980 ",," 11,264 "," 25,980 ",,,,,,,,,,,,,,,,,
Saanich-JDF," 17,192 "," 7,847 "," 27,308 ",," 25,039 "," 27,308 ",,,,,,,,,,,,,,,,,
WCVI Offshore," 9,304 "," 1,397 "," 7,691 ",," 10,701 "," 7,691 ",,,,,,,,,,,,,,,,,
WCVI Inshore," 55,091 "," 13,693 "," 75,041 ",," 68,784 "," 75,041 ",,,,,,,,,,,,,,,,,
Total," 131,316 "," 55,736 "," 249,500 ",," 187,052 "," 249,500 ",,,,,,,,,,,,,,,,,
